customer_id,gender,age,total_orders,price,payment_method,shopping_mall,invoice_date,Shopping Time,,,
CUST00001,Male,18,43,4569.5,Credit Card,City Centre Mall,24-03-2023,Morning,,,
CUST00002,Male,34,37,4453.01,Credit Card,Lulu Mall,16-02-2023,Evening,,,
CUST00003,Female,38,21,1150.89,UPI,VR Mall,02-12-2023,Afternoon,,,
CUST00004,Male,52,14,372.42,UPI,City Centre Mall,30-01-2023,Night,,,
CUST00005,Female,60,19,3063.35,UPI,VR Mall,26-02-2023,Afternoon,,,
CUST00006,Male,58,38,4866.41,UPI,Ambience Mall,03-10-2023,Evening,,,
CUST00007,Female,53,22,1265.16,Debit Card,Inorbit Mall,28-02-2023,Morning,,,
CUST00008,Female,26,27,2156.96,Wallet,VR Mall,11-05-2023,Night,,,
CUST00009,Female,25,43,1686.97,Cash,VR Mall,01-04-2023,Morning,,,
CUST00010,Male,48,49,2767.3,Credit Card,Elante Mall,18-12-2023,Morning,,,
CUST00011,Female,25,42,2748,Credit Card,Elante Mall,16-08-2023,Morning,,,
CUST00012,Female,54,5,609.79,Debit Card,Phoenix Marketcity,09-01-2023,Night,,,
CUST00013,Male,58,16,2922.53,Debit Card,City Centre Mall,17-05-2023,Evening,,,
CUST00014,Male,35,27,3852.06,Debit Card,DLF Mall of India,07-05-2023,Night,,,
CUST00015,Male,41,41,86.59,Cash,VR Mall,03-01-2023,Morning,,,
CUST00016,Male,48,24,4831.67,Credit Card,City Centre Mall,28-01-2023,Evening,,,
CUST00017,Female,38,48,3113.29,UPI,DLF Mall of India,11-10-2023,Night,,,
CUST00018,Male,47,44,3309.26,Credit Card,City Centre Mall,24-04-2023,Night,,,
CUST00019,Male,25,2,1907.95,Wallet,Select Citywalk,07-11-2023,Morning,,,
CUST00020,Male,26,17,2080.01,Credit Card,Ambience Mall,10-08-2023,Evening,,,
CUST00021,Female,25,38,2178.99,Cash,City Centre Mall,26-06-2023,Afternoon,,,
CUST00022,Female,39,20,2053.75,Cash,Orion Mall,03-01-2023,Morning,,,
CUST00023,Female,51,13,1551.77,UPI,Lulu Mall,02-08-2023,Morning,,,
CUST00024,Male,45,6,2236.51,Credit Card,City Centre Mall,29-11-2023,Morning,,,
CUST00025,Male,60,43,3368.29,Cash,Lulu Mall,04-04-2023,Evening,,,
CUST00026,Female,56,28,2126.79,Debit Card,Inorbit Mall,22-01-2023,Afternoon,,,
CUST00027,Female,52,47,4194.74,Cash,DLF Mall of India,05-11-2023,Evening,,,
CUST00028,Male,47,39,2789.5,Debit Card,Phoenix Marketcity,29-09-2023,Morning,,,
CUST00029,Female,52,12,1537.94,UPI,DLF Mall of India,15-07-2023,Morning,,,
CUST00030,Female,38,33,3664.41,Credit Card,Orion Mall,29-05-2023,Evening,,,
CUST00031,Female,54,20,3100.21,Wallet,Phoenix Marketcity,25-08-2023,Night,,,
CUST00032,Female,36,30,478.75,Wallet,Orion Mall,04-06-2023,Morning,,,
CUST00033,Female,51,43,680.27,Debit Card,Lulu Mall,20-08-2023,Afternoon,,,
CUST00034,Male,57,31,739.78,Credit Card,DLF Mall of India,01-11-2023,Evening,,,
CUST00035,Male,57,36,1332.86,Cash,VR Mall,16-03-2023,Evening,,,
CUST00036,Male,27,20,2753.89,Wallet,Lulu Mall,23-03-2023,Morning,,,
CUST00037,Female,20,23,2370.51,UPI,Lulu Mall,29-06-2023,Night,,,
CUST00038,Female,41,16,3215.44,UPI,Orion Mall,28-01-2023,Morning,,,
CUST00039,Male,57,47,2406.62,Cash,Lulu Mall,06-03-2023,Night,,,
CUST00040,Female,55,50,2224.18,Credit Card,Ambience Mall,27-02-2023,Evening,,,
CUST00041,Female,36,12,2042.56,Credit Card,Ambience Mall,06-11-2023,Morning,,,
CUST00042,Male,63,1,2877.94,Cash,City Centre Mall,24-01-2023,Morning,,,
CUST00043,Male,59,44,3458.79,Cash,Orion Mall,23-05-2023,Morning,,,
CUST00044,Male,34,8,1365.85,Wallet,City Centre Mall,26-10-2023,Afternoon,,,
CUST00045,Male,23,44,2465.96,Debit Card,Phoenix Marketcity,21-06-2023,Morning,,,
CUST00046,Female,28,29,1522.17,Credit Card,Inorbit Mall,15-10-2023,Morning,,,
CUST00047,Female,40,44,2142.72,Credit Card,Inorbit Mall,13-01-2023,Night,,,
CUST00048,Female,40,31,3927.69,Wallet,Inorbit Mall,24-06-2023,Evening,,,
CUST00049,Male,55,31,4519.6,Wallet,VR Mall,09-05-2023,Morning,,,
CUST00050,Female,36,17,2506.44,Debit Card,City Centre Mall,02-09-2023,Afternoon,,,
