customer_id,gender,age,total_orders,total_amount,payment_method,area,last_invoice_date,shopping_time,payment_status,cashier
CUST#101,Female,20,15,2148,UPI,Ballygunge,2023-03-14,Morning,yes,B3501
CUST#102,Male,21,24,3213,Credit Card,Behala,2023-02-06,Night,yes,B3962
CUST#103,Female,22,18,1559,UPI,Tollygunge,2023-11-22,Morning,yes,T8573
CUST#104,Female,23,29,2667,Debit Card,Tollygunge,2023-01-20,Night,yes,T3224
CUST#105,Male,24,25,3449,UPI,Behala,2023-02-16,Morning,yes,B9255
CUST#106,Male,24,17,767,UPI,Behala,2023-09-23,Night,yes,B8546
CUST#107,Female,37,12,3128,Debit Card,Tollygunge,2023-02-18,Morning,yes,T3507
CUST#108,Female,26,27,4270,Wallet,Ballygunge,2023-05-01,Night,yes,B1218
CUST#109,Female,19,22,1007,Cash,Park Street,2023-03-22,Morning,yes,P3689
CUST#110,Male,41,18,1152,Credit Card,Alipore,2023-12-08,Morning,yes,A46010
CUST#111,Female,25,14,1369,Credit Card,Gariahat,2023-08-06,Morning,yes,G103411
CUST#112,Female,24,23,2449,Debit Card,Behala,2023-01-09,Night,yes,B52812
CUST#113,Male,37,16,3584,Debit Card,Salt Lake,2023-05-07,Evening,yes,S105113
CUST#114,Male,26,16,935,Debit Card,Gariahat,2023-04-27,Night,yes,G98414
CUST#115,Male,19,23,873,Cash,Park Street,2023-01-03,Morning,yes,P72615
CUST#116,Male,41,6,3952,Credit Card,Gariahat,2023-01-18,Evening,yes,G38316
CUST#117,Female,24,10,2755,UPI,Dum Dum,2023-10-01,Night,yes,D47317
CUST#118,Male,37,7,3676,Credit Card,Behala,2023-04-14,Night,yes,B24218
CUST#119,Male,26,13,2845,Wallet,Gariahat,2023-10-28,Morning,yes,G117719
CUST#120,Male,19,23,1412,Credit Card,Jadavpur,2023-07-31,Evening,yes,J79320
CUST#121,Female,41,9,1416,Cash,Jadavpur,2023-06-16,Afternoon,yes,J22021
CUST#122,Female,39,17,1172,Cash,Tollygunge,2023-01-03,Morning,yes,T80122
CUST#123,Female,51,22,2801,UPI,Jadavpur,2023-07-23,Morning,yes,J116223
CUST#124,Male,45,11,2459,Credit Card,Park Street,2023-11-19,Morning,yes,P94224
CUST#125,Male,60,13,4239,Cash,Tollygunge,2023-03-25,Evening,yes,T85825
CUST#126,Female,56,7,1992,Debit Card,Park Street,2023-01-12,Afternoon,yes,P90526
CUST#127,Female,52,18,3109,Cash,Shyambazar,2023-10-26,Evening,yes,S61927
CUST#128,Male,47,10,3971,Debit Card,Salt Lake,2023-09-19,Morning,yes,S97928
CUST#129,Female,52,6,3930,UPI,Ballygunge,2023-07-05,Morning,yes,B69929
CUST#130,Female,38,23,4210,Credit Card,Jadavpur,2023-05-19,Evening,yes,J106430
CUST#131,Female,54,17,4566,Wallet,Salt Lake,2023-08-15,Night,yes,S70831
CUST#132,Female,36,14,3997,Wallet,Tollygunge,2023-05-25,Morning,yes,T43832
CUST#133,Female,51,17,2618,Debit Card,Tollygunge,2023-08-10,Afternoon,yes,T84833
CUST#134,Male,57,19,871,Credit Card,Behala,2023-10-22,Evening,yes,B56634
CUST#135,Male,57,20,2436,Cash,Behala,2023-03-06,Evening,yes,B69935
CUST#136,Male,27,12,1965,Wallet,Gariahat,2023-03-13,Morning,yes,G56336
CUST#137,Female,20,6,2864,UPI,Shyambazar,2023-06-19,Night,yes,S28437
CUST#138,Female,41,13,827,UPI,Salt Lake,2023-01-18,Morning,yes,S68638
CUST#139,Male,57,16,3610,Cash,Dum Dum,2023-02-24,Night,yes,D53439
CUST#140,Female,55,26,3352,Credit Card,Ballygunge,2023-02-17,Evening,yes,B40940
CUST#141,Female,36,8,2585,Credit Card,Behala,2023-10-27,Morning,yes,B55741
CUST#142,Male,63,17,1394,Cash,Tollygunge,2023-01-14,Morning,yes,T11742
CUST#143,Male,59,22,2825,Cash,Tollygunge,2023-05-13,Morning,yes,T16143
