customer_id,gender,age,total_orders,amount,payment_method,area,last_invoice_date,shopping_time,payment_status,Cashier,,,,
CUST00001,Male,18,43,18278,Credit Card,Bapu Bazaar,24-03-2023,Morning,yes,BB30393,,,,
CUST00002,Male,34,37,4453.01,Credit Card,Johari Bazaar,16-02-2023,Evening,yes,JW32473,,,,
CUST00003,Female,38,21,6905.34,UPI,C-Scheme,02-12-2023,Afternoon,yes,CS43533,,,,
CUST00004,Male,52,14,372.42,UPI,Bapu Bazaar,30-01-2023,Night,yes,BB30393,,,,
CUST00005,Female,60,19,3063.35,UPI,C-Scheme,26-02-2023,Afternoon,yes,CS43533,,,,
CUST00006,Male,58,38,29198.46,UPI,Vaishali Nagar,03-10-2023,Evening,yes,VN32344,,,,
CUST00007,Female,53,22,7590.96,Debit Card,Malviya Nagar,28-02-2023,Morning,yes,MN25354,,,,
CUST00008,Female,26,27,12941.76,Wallet,C-Scheme,11-05-2023,Night,yes,CS43533,,,,
CUST00009,Female,25,43,1686.97,Cash,C-Scheme,01-04-2023,Morning,yes,CS43533,,,,
CUST00010,Male,48,49,11069.2,Credit Card,Mansarovar,18-12-2023,Morning,yes,MS27374,,,,
CUST00011,Female,25,42,16488,Credit Card,Mansarovar,16-08-2023,Morning,yes,MS27374,,,,
CUST00012,Female,54,5,2439.16,Debit Card,Shastri Nagar,09-01-2023,Night,yes,SN34543,,,,
CUST00013,Male,58,16,8767.59,Debit Card,Bapu Bazaar,17-05-2023,Evening,yes,BB30393,,,,
CUST00014,Male,35,27,3852.06,Debit Card,Jhotwara,07-05-2023,Night,yes,JH34565,,,,
CUST00015,Male,41,41,346.36,Cash,C-Scheme,03-01-2023,Morning,yes,CS43533,,,,
CUST00016,Male,48,24,28990.02,Credit Card,Bapu Bazaar,28-01-2023,Evening,yes,BB30393,,,,
CUST00017,Female,38,48,12453.16,UPI,Jhotwara,11-10-2023,Night,yes,JH34565,,,,
CUST00018,Male,47,44,9927.78,Credit Card,Bapu Bazaar,24-04-2023,Night,yes,BB30393,,,,
CUST00019,Male,25,2,5723.85,Wallet,Pratap Nagar,07-11-2023,Morning,yes,PN34546,,,,
CUST00020,Male,26,17,12480.06,Credit Card,Vaishali Nagar,10-08-2023,Evening,yes,VN32344,,,,
CUST00021,Female,25,38,2178.99,Cash,Bapu Bazaar,26-06-2023,Afternoon,yes,BB30393,,,,
CUST00022,Female,39,20,10268.75,Cash,Shayam Nagar,03-01-2023,Morning,yes,SN22345,,,,
CUST00023,Female,51,13,6207.08,UPI,Johari Bazaar,02-08-2023,Morning,yes,JW32473,,,,
CUST00024,Male,45,6,6709.53,Credit Card,Bapu Bazaar,29-11-2023,Morning,yes,BB30393,,,,
CUST00025,Male,60,43,10104.87,Cash,Johari Bazaar,04-04-2023,Evening,yes,JW32473,,,,
CUST00026,Female,56,28,2126.79,Debit Card,Malviya Nagar,22-01-2023,Afternoon,yes,MN25354,,,,
CUST00027,Female,52,47,25168.44,Cash,Jhotwara,05-11-2023,Evening,yes,JH34565,,,,
CUST00028,Male,47,39,13947.5,Debit Card,Shastri Nagar,29-09-2023,Morning,yes,SN34543,,,,
CUST00029,Female,52,12,1537.94,UPI,Jhotwara,15-07-2023,Morning,yes,JH34565,,,,
CUST00030,Female,38,33,10993.23,Credit Card,Shayam Nagar,29-05-2023,Evening,yes,SN22345,,,,
CUST00031,Female,54,20,12400.84,Wallet,Shastri Nagar,25-08-2023,Night,yes,SN34543,,,,
CUST00032,Female,36,30,2872.5,Wallet,Shayam Nagar,04-06-2023,Morning,yes,SN22345,,,,
CUST00033,Female,51,43,2040.81,Debit Card,Johari Bazaar,20-08-2023,Afternoon,yes,JW32473,,,,
CUST00034,Male,57,31,1479.56,Credit Card,Jhotwara,01-11-2023,Evening,yes,JH34565,,,,
CUST00035,Male,57,36,2665.72,Cash,C-Scheme,16-03-2023,Evening,yes,CS43533,,,,
CUST00036,Male,27,20,8261.67,Wallet,Johari Bazaar,23-03-2023,Morning,yes,JW32473,,,,
CUST00037,Female,20,23,14223.06,UPI,Johari Bazaar,29-06-2023,Night,yes,JW32473,,,,
CUST00038,Female,41,16,12861.76,UPI,Shayam Nagar,28-01-2023,Morning,yes,SN22345,,,,
CUST00039,Male,57,47,12033.1,Cash,Johari Bazaar,06-03-2023,Night,yes,JW32473,,,,
CUST00040,Female,55,50,4448.36,Credit Card,Vaishali Nagar,27-02-2023,Evening,yes,VN32344,,,,
CUST00041,Female,36,12,12255.36,Credit Card,Vaishali Nagar,06-11-2023,Morning,yes,VN32344,,,,
CUST00042,Male,63,1,11511.76,Cash,Bapu Bazaar,24-01-2023,Morning,yes,BB30393,,,,
CUST00043,Male,59,44,6917.58,Cash,Shayam Nagar,23-05-2023,Morning,yes,SN22345,,,,
CUST00044,Male,34,8,1365.85,Wallet,Bapu Bazaar,26-10-2023,Afternoon,yes,BB30393,,,,
CUST00045,Male,23,44,9863.84,Debit Card,Shastri Nagar,21-06-2023,Morning,yes,SN34543,,,,
CUST00046,Female,28,29,7610.85,Credit Card,Malviya Nagar,15-10-2023,Morning,yes,MN25354,,,,
CUST00047,Female,40,44,8570.88,Credit Card,Malviya Nagar,13-01-2023,Night,yes,MN25354,,,,
CUST00048,Female,40,31,15710.76,Wallet,Malviya Nagar,24-06-2023,Evening,yes,MN25354,,,,
CUST00049,Male,55,31,27117.6,Wallet,C-Scheme,09-05-2023,Morning,yes,CS43533,,,,
CUST00050,Female,36,17,7519.32,Debit Card,Bapu Bazaar,02-09-2023,Afternoon,yes,BB30393,,,,
CUST00051,Male,26,50,13669.95,Cash,Vaishali Nagar,30-12-2023,Night,yes,VN32344,,,,
CUST00052,Male,31,29,23051.4,Cash,Pratap Nagar,06-03-2023,Evening,yes,PN34546,,,,
CUST00053,Male,31,17,23192.46,UPI,Pratap Nagar,29-05-2023,Morning,yes,PN34546,,,,
CUST00054,Male,25,3,9013.28,Debit Card,Vaishali Nagar,09-06-2023,Night,yes,VN32344,,,,
CUST00055,Female,58,16,3548.38,Credit Card,Shastri Nagar,25-12-2023,Night,yes,SN34543,,,,
CUST00056,Female,42,27,4500.02,Debit Card,Pratap Nagar,24-03-2023,Morning,yes,PN34546,,,,
CUST00057,Female,49,40,914.98,UPI,Malviya Nagar,07-05-2023,Night,yes,MN25354,,,,
CUST00058,Female,44,22,776.25,Debit Card,Bapu Bazaar,03-12-2023,Morning,yes,BB30393,,,,
CUST00059,Female,18,25,10527.5,UPI,Johari Bazaar,13-09-2023,Afternoon,yes,JW32473,,,,
CUST00060,Female,65,15,10961.46,Cash,Bapu Bazaar,26-07-2023,Evening,yes,BB30393,,,,
CUST00061,Male,27,7,80.76,UPI,C-Scheme,01-07-2023,Evening,yes,CS43533,,,,
CUST00062,Male,35,31,8562.64,Cash,Bapu Bazaar,14-02-2023,Evening,yes,BB30393,,,,
CUST00063,Female,42,34,14423.36,Credit Card,Malviya Nagar,22-07-2023,Morning,yes,MN25354,,,,
CUST00064,Male,41,43,19205.92,Wallet,Mansarovar,15-04-2023,Morning,yes,MS27374,,,,
CUST00065,Female,29,32,12905.01,Cash,Bapu Bazaar,20-04-2023,Evening,yes,BB30393,,,,
